"","Y1979","Y1980","Y1981","Y1982","Y1983","Y1984","Y1985","Y1986","Y1987","Y1988","Y1989","Y1990","Y1991","Y1992","Y1993","Y1994","Y1995","Y1996","Y1997","Y1998","Y1999","Y2000","Y2001","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010"
"Portugal",907.284818013509,498.510695139567,556.509892781576,533.465016682943,707.084111531576,660.542352040609,758.196169535319,621.471556345622,925.3837890625,731.205982208252,1104.78982416789,620.826075236003,569.531902313232,517.152043660482,701.627168019613,561.952563603719,700.201769510905,1085.18285369873,1028.68273417155,521.852667490641,664.936021169027,837.364433288574,774.361624399821,742.389828999837,758.432364145915,486.377607345581,477.532137552897,844.156613667806,574.924519856771,705.921314239502,747.359313964844,1015.17246500651
"Spain",682.847981882619,461.208240215595,411.830144022847,511.975491869581,442.825407761794,550.347130744012,517.031398731274,532.938821813562,688.837983519166,562.182842548077,818.642038198618,482.631741366544,514.062850952148,511.490557660113,497.452111212762,401.943300184313,470.958448808272,886.861094715831,787.486591716389,432.672486692994,477.632741907141,568.282447731102,624.630430619795,597.763276823274,644.34764115889,606.405680897472,431.648479755108,659.496841262985,610.967065832117,689.472495948875,664.426301725618,908.453992235792
"Italy",805.406992059005,729.78955078125,617.835580926192,862.512929815995,637.891948499178,756.855915270354,731.943536055715,729.024266293174,659.691981265419,713.748824270148,593.177136872944,736.719000565378,733.946680972451,739.660875822368,745.24758750514,585.208695261102,658.192633377878,950.778603001645,683.574951171875,589.427406712582,636.785657380757,582.367107190584,510.882741827714,651.387965152138,825.749174419202,838.903513055099,775.004860325863,784.046813964844,649.079236482319,639.439170435855,899.806868703742,866.570913214433
"Greece",980.777894861558,891.169320499196,867.046235926011,872.444729075712,744.629699707031,769.156869327321,745.072002635283,802.656745461857,904.87398035386,789.197705437155,543.083758185891,692.634684843176,852.800865622128,596.391468721278,694.097498276654,833.539627972771,792.143783569336,954.100025850184,762.875450583065,852.660542207606,866.349859798656,586.605452593635,778.03419045841,991.161554673139,927.480879839729,791.23221543256,880.37404497932,751.984509636374,703.568732766544,683.072890337776,1033.79816212374,905.165304744945
"Albania",1201.42883300781,1073.11401367188,977.611694335938,1029.44494628906,834.594909667969,822.195373535156,864.081604003906,926.589904785156,1054.90502929688,809.095520019531,619.778625488281,846.015014648438,939.989868164062,724.239501953125,828.125366210938,995.831298828125,1017.52191162109,1162.49865722656,856.784301757812,1033.08239746094,1120.20263671875,694.099975585938,867.2099609375,1187.71423339844,1098.548828125,982.622131347656,1094.44616699219,924.316101074219,880.277893066406,829.339294433594,1313.26403808594,1190.00183105469
"Turkey",652.989487949388,614.1327398391,729.540679931641,524.151730359891,625.73999287659,518.424502021823,573.676278779001,586.114520316516,710.804768615987,755.143429974973,454.557191989123,467.036428146032,628.273507518686,562.012849221498,548.903759448559,635.413806733631,609.571657783541,686.741727622556,644.889841715495,670.217923118955,505.751732235863,549.632964823669,660.144875398446,612.14127657011,670.713627802861,578.746229295607,591.119679372548,599.14118594215,569.587011824439,470.819216839679,785.146356359705,698.074171850692
"Armenia",471.029586791992,405.950523376465,540.696380615234,545.780883789062,402.559143066406,425.029151916504,429.417488098145,520.057243347168,497.410011291504,546.356925964355,346.798767089844,385.997184753418,462.881355285645,527.474540710449,572.43684387207,576.944030761719,426.403450012207,434.968841552734,435.220611572266,407.625549316406,406.297019958496,364.523727416992,375.411987304688,501.204627990723,532.101173400879,505.800186157227,443.657531738281,570.394500732422,540.754776000977,473.306655883789,585.056991577148,569.138565063477
"Azerbaijan",506.330243791853,544.969473702567,575.644557407924,722.910426548549,405.173945835658,534.902709960938,453.576102120536,521.423474993025,518.250754220145,564.151109967913,398.671840122768,453.816920689174,491.533530099051,570.295580182757,603.789280482701,547.388863699777,444.461879185268,442.363638741629,492.88077218192,457.93949672154,444.528577532087,500.469560895647,436.574009486607,529.082445417132,575.262071881975,553.259660993304,434.773018973214,536.77938406808,483.501438685826,482.847896030971,539.843043736049,496.002711704799
"Turkmenistan",269.143189586293,252.110213678533,333.044227183949,204.339727783203,156.677909157493,226.657655195756,187.903876842152,206.067947110263,243.56191073331,248.724241499467,185.857125854492,177.679442249645,208.486076771129,243.404895574396,245.029046630859,215.598871404474,146.83825933283,180.23153963956,220.95869029652,228.659705699574,237.298080721768,194.811995350231,178.971720192649,264.515446333452,306.451255104759,293.717655806108,238.326005415483,197.53584317294,216.929736328125,142.494536243786,258.930484286222,182.407539506392
"Iran (Islamic Republic of)",319.262085372595,317.549634096434,298.129630150555,388.162684461196,258.47130984025,279.313973666953,233.685496590978,357.254385557106,268.451497674846,312.790881301002,254.248724505198,220.101021197202,340.457886153845,383.800475854668,358.584612619963,335.095155249397,305.283900048235,349.747763283819,322.813815768674,300.117258524723,276.901230489607,247.944029156253,217.915417582011,286.802835093985,304.150955721629,339.70664308397,280.495069037238,311.486986860097,265.400842721514,188.284490942097,301.626158021337,190.212429122101
